OTUId,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_446,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,
OTU_523,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
OTU_279,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
OTU_713,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Helcococcus,
OTU_533,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Megasphaera,
OTU_1645,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella,parvula
OTU_524,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Ruminococcus],torques
OTU_312,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,
OTU_35,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,[Weeksellaceae],,
OTU_68,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Oribacterium,
OTU_156,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
OTU_89,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,nanceiensis
OTU_810,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus
OTU_1037,Bacteria,,,,,,
OTU_1132,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
OTU_14,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,
OTU_736,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,
OTU_969,Bacteria,Firmicutes,Clostridia,Clostridiales,,,
OTU_683,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
OTU_71,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,
